,Label (Grouping),"Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.3%,6.6%,6.1%
3,    5 to 9 years,6.2%,6.4%,6.0%
4,    10 to 14 years,6.3%,6.5%,6.1%
5,    15 to 19 years,6.8%,7.0%,6.6%
6,    20 to 24 years,7.7%,7.9%,7.4%
7,    25 to 29 years,8.1%,8.4%,7.8%
8,    30 to 34 years,7.5%,7.7%,7.3%
9,    35 to 39 years,6.9%,7.0%,6.8%
10,    40 to 44 years,7.0%,7.1%,7.0%
11,    45 to 49 years,6.9%,7.0%,6.9%
12,    50 to 54 years,6.8%,6.8%,6.8%
13,    55 to 59 years,6.2%,6.1%,6.3%
14,    60 to 64 years,5.2%,4.9%,5.4%
15,    65 to 69 years,4.0%,3.7%,4.2%
16,    70 to 74 years,2.8%,2.6%,3.1%
17,    75 to 79 years,2.1%,1.8%,2.3%
18,    80 to 84 years,1.6%,1.3%,1.9%
19,    85 years and over,1.7%,1.2%,2.2%
