,Label (Grouping),"Merced County, California!!Total!!Estimate","Merced County, California!!Male!!Estimate","Merced County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.6%,8.8%,8.5%
3,    5 to 9 years,8.4%,8.5%,8.2%
4,    10 to 14 years,8.8%,9.0%,8.7%
5,    15 to 19 years,9.4%,9.8%,9.1%
6,    20 to 24 years,8.0%,8.3%,7.7%
7,    25 to 29 years,7.1%,7.4%,6.9%
8,    30 to 34 years,6.6%,6.6%,6.5%
9,    35 to 39 years,6.4%,6.3%,6.6%
10,    40 to 44 years,6.2%,6.4%,6.0%
11,    45 to 49 years,6.3%,6.3%,6.4%
12,    50 to 54 years,5.8%,5.8%,5.9%
13,    55 to 59 years,4.9%,4.9%,4.9%
14,    60 to 64 years,3.9%,3.8%,4.1%
15,    65 to 69 years,3.1%,3.0%,3.2%
16,    70 to 74 years,2.2%,1.9%,2.4%
17,    75 to 79 years,1.8%,1.4%,2.2%
18,    80 to 84 years,1.3%,1.1%,1.6%
19,    85 years and over,1.1%,0.9%,1.3%
