,Label (Grouping),"Alameda County, California!!Total!!Estimate","Alameda County, California!!Male!!Estimate","Alameda County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.5%,6.8%,6.2%
3,    5 to 9 years,6.3%,6.6%,5.9%
4,    10 to 14 years,6.0%,6.1%,5.8%
5,    15 to 19 years,6.5%,6.8%,6.2%
6,    20 to 24 years,7.1%,7.3%,6.9%
7,    25 to 29 years,7.6%,7.7%,7.5%
8,    30 to 34 years,7.6%,7.6%,7.6%
9,    35 to 39 years,7.6%,7.8%,7.4%
10,    40 to 44 years,7.5%,7.5%,7.5%
11,    45 to 49 years,7.5%,7.5%,7.4%
12,    50 to 54 years,7.2%,7.2%,7.1%
13,    55 to 59 years,6.3%,6.2%,6.4%
14,    60 to 64 years,5.2%,5.1%,5.4%
15,    65 to 69 years,3.5%,3.4%,3.6%
16,    70 to 74 years,2.5%,2.3%,2.8%
17,    75 to 79 years,2.0%,1.8%,2.1%
18,    80 to 84 years,1.6%,1.2%,1.9%
19,    85 years and over,1.7%,1.1%,2.2%
