,Label (Grouping),"Merced County, California!!Total!!Estimate","Merced County, California!!Male!!Estimate","Merced County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.1%,8.3%,7.8%
3,    5 to 9 years,8.6%,8.8%,8.5%
4,    10 to 14 years,8.1%,8.1%,8.2%
5,    15 to 19 years,8.4%,8.6%,8.2%
6,    20 to 24 years,7.9%,8.0%,7.7%
7,    25 to 29 years,7.7%,8.3%,7.2%
8,    30 to 34 years,6.7%,6.8%,6.6%
9,    35 to 39 years,5.9%,5.7%,6.1%
10,    40 to 44 years,6.3%,6.3%,6.3%
11,    45 to 49 years,5.6%,5.6%,5.5%
12,    50 to 54 years,5.8%,5.8%,5.7%
13,    55 to 59 years,5.1%,5.1%,5.0%
14,    60 to 64 years,5.0%,4.6%,5.4%
15,    65 to 69 years,3.7%,3.9%,3.4%
16,    70 to 74 years,2.5%,2.0%,3.0%
17,    75 to 79 years,1.7%,2.0%,1.4%
18,    80 to 84 years,1.4%,0.9%,1.8%
19,    85 years and over,1.5%,1.0%,2.1%
