,Label (Grouping),"El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.7%,4.7%,4.6%
3,    5 to 9 years,5.9%,5.9%,5.9%
4,    10 to 14 years,6.2%,6.7%,5.8%
5,    15 to 19 years,6.4%,6.8%,6.1%
6,    20 to 24 years,5.5%,5.9%,5.2%
7,    25 to 29 years,4.7%,5.0%,4.5%
8,    30 to 34 years,5.0%,5.1%,5.0%
9,    35 to 39 years,5.1%,5.2%,5.1%
10,    40 to 44 years,6.0%,5.7%,6.3%
11,    45 to 49 years,7.0%,6.9%,7.1%
12,    50 to 54 years,8.5%,8.4%,8.6%
13,    55 to 59 years,9.0%,8.5%,9.5%
14,    60 to 64 years,7.9%,8.1%,7.7%
15,    65 to 69 years,6.5%,6.5%,6.5%
16,    70 to 74 years,4.4%,4.3%,4.5%
17,    75 to 79 years,2.8%,2.7%,2.9%
18,    80 to 84 years,2.2%,2.1%,2.3%
19,    85 years and over,2.0%,1.6%,2.4%
