,Label (Grouping),"Siskiyou County, California!!Total!!Estimate","Siskiyou County, California!!Male!!Estimate","Siskiyou County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.3%,5.7%,5.0%
3,    5 to 9 years,5.9%,6.2%,5.6%
4,    10 to 14 years,5.6%,5.5%,5.6%
5,    15 to 19 years,6.2%,6.9%,5.5%
6,    20 to 24 years,4.9%,5.1%,4.7%
7,    25 to 29 years,4.9%,5.1%,4.7%
8,    30 to 34 years,4.6%,4.8%,4.4%
9,    35 to 39 years,5.0%,5.1%,4.9%
10,    40 to 44 years,5.2%,5.0%,5.4%
11,    45 to 49 years,6.7%,6.6%,6.8%
12,    50 to 54 years,8.3%,7.9%,8.7%
13,    55 to 59 years,8.7%,8.8%,8.6%
14,    60 to 64 years,8.8%,8.3%,9.2%
15,    65 to 69 years,6.3%,6.9%,5.7%
16,    70 to 74 years,5.0%,4.8%,5.3%
17,    75 to 79 years,3.5%,3.2%,3.8%
18,    80 to 84 years,2.7%,2.4%,3.0%
19,    85 years and over,2.4%,1.8%,3.0%
