,Label (Grouping),"Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.8%,5.6%,5.9%
3,    5 to 9 years,6.0%,5.2%,6.8%
4,    10 to 14 years,6.4%,7.3%,5.6%
5,    15 to 19 years,6.5%,6.6%,6.4%
6,    20 to 24 years,6.0%,6.4%,5.6%
7,    25 to 29 years,4.7%,5.1%,4.3%
8,    30 to 34 years,5.2%,5.2%,5.1%
9,    35 to 39 years,5.5%,5.4%,5.6%
10,    40 to 44 years,6.9%,7.9%,5.9%
11,    45 to 49 years,5.7%,5.7%,5.7%
12,    50 to 54 years,7.7%,7.7%,7.7%
13,    55 to 59 years,7.5%,7.1%,7.8%
14,    60 to 64 years,9.0%,9.0%,8.9%
15,    65 to 69 years,6.3%,6.0%,6.7%
16,    70 to 74 years,3.8%,3.5%,4.0%
17,    75 to 79 years,2.6%,2.4%,2.8%
18,    80 to 84 years,2.0%,1.8%,2.1%
19,    85 years and over,2.5%,1.9%,3.1%
