,Label (Grouping),"Sutter County, California!!Total!!Estimate","Sutter County, California!!Male!!Estimate","Sutter County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.2%,7.1%,7.3%
3,    5 to 9 years,8.7%,7.5%,9.8%
4,    10 to 14 years,6.5%,8.3%,4.7%
5,    15 to 19 years,9.0%,9.0%,9.0%
6,    20 to 24 years,6.2%,7.0%,5.4%
7,    25 to 29 years,6.7%,6.7%,6.7%
8,    30 to 34 years,6.5%,6.3%,6.6%
9,    35 to 39 years,5.3%,4.5%,6.0%
10,    40 to 44 years,7.7%,8.6%,6.8%
11,    45 to 49 years,5.5%,5.5%,5.5%
12,    50 to 54 years,6.5%,6.7%,6.3%
13,    55 to 59 years,5.9%,6.2%,5.7%
14,    60 to 64 years,4.9%,4.2%,5.5%
15,    65 to 69 years,3.7%,3.4%,3.9%
16,    70 to 74 years,3.6%,3.7%,3.5%
17,    75 to 79 years,2.3%,1.9%,2.8%
18,    80 to 84 years,1.8%,1.8%,1.9%
19,    85 years and over,2.2%,1.8%,2.5%
