,Label (Grouping),"San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.1%,7.3%,6.8%
3,    5 to 9 years,8.1%,8.1%,8.1%
4,    10 to 14 years,7.5%,7.9%,7.1%
5,    15 to 19 years,7.5%,7.9%,7.2%
6,    20 to 24 years,7.0%,7.2%,6.7%
7,    25 to 29 years,7.1%,7.4%,6.8%
8,    30 to 34 years,6.8%,6.8%,6.7%
9,    35 to 39 years,6.4%,6.3%,6.6%
10,    40 to 44 years,6.3%,6.5%,6.2%
11,    45 to 49 years,6.4%,6.3%,6.4%
12,    50 to 54 years,6.3%,6.3%,6.2%
13,    55 to 59 years,5.8%,6.0%,5.7%
14,    60 to 64 years,5.2%,4.9%,5.6%
15,    65 to 69 years,4.0%,3.8%,4.2%
16,    70 to 74 years,3.3%,3.0%,3.7%
17,    75 to 79 years,2.0%,1.8%,2.2%
18,    80 to 84 years,1.5%,1.3%,1.8%
19,    85 years and over,1.5%,1.0%,1.9%
