,Label (Grouping),"Solano County, California!!Total!!Estimate","Solano County, California!!Male!!Estimate","Solano County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.3%,6.5%,6.1%
3,    5 to 9 years,6.2%,5.7%,6.8%
4,    10 to 14 years,6.9%,7.6%,6.1%
5,    15 to 19 years,6.8%,7.1%,6.5%
6,    20 to 24 years,7.4%,7.9%,7.0%
7,    25 to 29 years,7.1%,7.4%,6.9%
8,    30 to 34 years,6.6%,6.8%,6.4%
9,    35 to 39 years,6.1%,6.6%,5.6%
10,    40 to 44 years,6.5%,6.2%,6.7%
11,    45 to 49 years,7.2%,7.1%,7.2%
12,    50 to 54 years,7.6%,7.5%,7.6%
13,    55 to 59 years,7.1%,6.9%,7.4%
14,    60 to 64 years,6.0%,5.9%,6.0%
15,    65 to 69 years,4.6%,4.4%,4.9%
16,    70 to 74 years,2.4%,2.3%,2.6%
17,    75 to 79 years,2.3%,2.2%,2.4%
18,    80 to 84 years,1.4%,1.2%,1.7%
19,    85 years and over,1.5%,0.8%,2.1%
