,Label (Grouping),"Mono County, California!!Total!!Estimate","Mono County, California!!Male!!Estimate","Mono County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.4%,1.8%,7.4%
3,    5 to 9 years,6.0%,5.3%,6.7%
4,    10 to 14 years,7.0%,8.2%,5.5%
5,    15 to 19 years,4.6%,5.3%,3.8%
6,    20 to 24 years,12.0%,10.6%,13.7%
7,    25 to 29 years,3.7%,5.1%,2.0%
8,    30 to 34 years,8.2%,8.3%,8.1%
9,    35 to 39 years,5.2%,4.1%,6.4%
10,    40 to 44 years,6.3%,8.3%,3.9%
11,    45 to 49 years,5.7%,6.2%,5.1%
12,    50 to 54 years,9.3%,8.3%,10.5%
13,    55 to 59 years,8.7%,8.1%,9.4%
14,    60 to 64 years,5.9%,7.1%,4.6%
15,    65 to 69 years,3.9%,4.5%,3.3%
16,    70 to 74 years,4.7%,3.8%,5.8%
17,    75 to 79 years,1.7%,2.6%,0.7%
18,    80 to 84 years,1.6%,0.9%,2.3%
19,    85 years and over,1.3%,1.7%,0.8%
