,Label (Grouping),"Imperial County, California!!Total!!Estimate","Imperial County, California!!Male!!Estimate","Imperial County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.1%,7.8%,8.4%
3,    5 to 9 years,8.6%,7.9%,9.4%
4,    10 to 14 years,6.8%,7.5%,6.0%
5,    15 to 19 years,8.2%,8.6%,7.8%
6,    20 to 24 years,8.4%,9.1%,7.7%
7,    25 to 29 years,7.1%,7.9%,6.2%
8,    30 to 34 years,6.4%,6.8%,5.9%
9,    35 to 39 years,6.2%,6.2%,6.2%
10,    40 to 44 years,6.9%,6.7%,7.1%
11,    45 to 49 years,6.1%,6.0%,6.1%
12,    50 to 54 years,6.2%,6.1%,6.3%
13,    55 to 59 years,6.7%,7.2%,6.2%
14,    60 to 64 years,3.6%,2.8%,4.5%
15,    65 to 69 years,3.3%,2.5%,4.2%
16,    70 to 74 years,2.5%,2.5%,2.4%
17,    75 to 79 years,2.2%,1.9%,2.6%
18,    80 to 84 years,1.3%,1.2%,1.5%
19,    85 years and over,1.4%,1.1%,1.7%
