,Label (Grouping),"Lake County, California!!Total!!Estimate","Lake County, California!!Male!!Estimate","Lake County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.6%,5.7%,5.6%
3,    5 to 9 years,5.5%,5.4%,5.5%
4,    10 to 14 years,5.6%,6.2%,5.0%
5,    15 to 19 years,5.9%,6.2%,5.5%
6,    20 to 24 years,5.3%,5.5%,5.1%
7,    25 to 29 years,5.6%,6.1%,5.1%
8,    30 to 34 years,5.3%,5.6%,5.0%
9,    35 to 39 years,5.2%,5.5%,4.9%
10,    40 to 44 years,4.9%,4.3%,5.4%
11,    45 to 49 years,6.1%,5.9%,6.2%
12,    50 to 54 years,7.6%,7.5%,7.7%
13,    55 to 59 years,8.8%,8.4%,9.1%
14,    60 to 64 years,8.3%,8.1%,8.5%
15,    65 to 69 years,7.5%,7.9%,7.2%
16,    70 to 74 years,4.8%,4.3%,5.3%
17,    75 to 79 years,3.4%,3.0%,3.9%
18,    80 to 84 years,2.4%,2.2%,2.6%
19,    85 years and over,2.2%,2.1%,2.4%
