,Label (Grouping),"Sutter County, California!!Total!!Estimate","Sutter County, California!!Male!!Estimate","Sutter County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.5%,7.8%,7.2%
3,    5 to 9 years,8.0%,7.3%,8.7%
4,    10 to 14 years,7.1%,8.2%,6.0%
5,    15 to 19 years,7.7%,8.2%,7.1%
6,    20 to 24 years,6.9%,7.3%,6.6%
7,    25 to 29 years,6.9%,6.9%,6.8%
8,    30 to 34 years,6.5%,6.5%,6.5%
9,    35 to 39 years,6.5%,6.7%,6.3%
10,    40 to 44 years,6.2%,6.1%,6.3%
11,    45 to 49 years,6.8%,7.0%,6.7%
12,    50 to 54 years,6.5%,6.5%,6.5%
13,    55 to 59 years,5.4%,5.6%,5.2%
14,    60 to 64 years,5.2%,4.6%,5.7%
15,    65 to 69 years,3.8%,3.5%,4.1%
16,    70 to 74 years,3.3%,3.3%,3.2%
17,    75 to 79 years,2.4%,1.8%,3.0%
18,    80 to 84 years,1.9%,1.9%,1.9%
19,    85 years and over,1.4%,0.8%,2.0%
