,Label (Grouping),"Colusa County, California!!Total!!Estimate","Colusa County, California!!Male!!Estimate","Colusa County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.6%,9.1%,8.1%
3,    5 to 9 years,8.4%,8.3%,8.5%
4,    10 to 14 years,7.5%,7.8%,7.2%
5,    15 to 19 years,8.4%,9.2%,7.6%
6,    20 to 24 years,6.0%,6.3%,5.6%
7,    25 to 29 years,6.4%,6.3%,6.6%
8,    30 to 34 years,6.0%,5.8%,6.3%
9,    35 to 39 years,5.9%,5.5%,6.4%
10,    40 to 44 years,6.9%,7.1%,6.7%
11,    45 to 49 years,6.4%,6.2%,6.6%
12,    50 to 54 years,6.6%,6.4%,6.9%
13,    55 to 59 years,5.4%,5.6%,5.2%
14,    60 to 64 years,5.5%,5.3%,5.7%
15,    65 to 69 years,4.3%,4.8%,3.8%
16,    70 to 74 years,2.2%,2.0%,2.5%
17,    75 to 79 years,1.7%,1.3%,2.0%
18,    80 to 84 years,2.4%,2.3%,2.6%
19,    85 years and over,1.3%,0.9%,1.7%
