,Label (Grouping),"San Diego County, California!!Total!!Estimate","San Diego County, California!!Male!!Estimate","San Diego County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.5%,6.6%,6.4%
3,    5 to 9 years,6.2%,6.3%,6.0%
4,    10 to 14 years,6.0%,6.0%,6.0%
5,    15 to 19 years,6.5%,6.8%,6.3%
6,    20 to 24 years,8.3%,9.2%,7.5%
7,    25 to 29 years,8.5%,8.8%,8.1%
8,    30 to 34 years,7.6%,7.8%,7.4%
9,    35 to 39 years,6.7%,6.8%,6.6%
10,    40 to 44 years,6.5%,6.5%,6.5%
11,    45 to 49 years,6.4%,6.4%,6.5%
12,    50 to 54 years,6.6%,6.6%,6.7%
13,    55 to 59 years,6.1%,5.9%,6.3%
14,    60 to 64 years,5.3%,5.1%,5.5%
15,    65 to 69 years,4.2%,3.9%,4.5%
16,    70 to 74 years,2.9%,2.7%,3.2%
17,    75 to 79 years,2.1%,1.8%,2.3%
18,    80 to 84 years,1.7%,1.5%,2.0%
19,    85 years and over,1.8%,1.3%,2.4%
