,Label (Grouping),"Merced County, California!!Total!!Estimate","Merced County, California!!Male!!Estimate","Merced County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.3%,8.6%,8.0%
3,    5 to 9 years,8.4%,8.3%,8.5%
4,    10 to 14 years,8.9%,9.3%,8.4%
5,    15 to 19 years,9.1%,9.3%,8.9%
6,    20 to 24 years,8.6%,8.7%,8.5%
7,    25 to 29 years,6.8%,7.3%,6.4%
8,    30 to 34 years,6.5%,6.7%,6.3%
9,    35 to 39 years,6.8%,6.3%,7.2%
10,    40 to 44 years,5.7%,5.9%,5.5%
11,    45 to 49 years,5.9%,6.0%,5.8%
12,    50 to 54 years,5.9%,5.7%,6.0%
13,    55 to 59 years,5.0%,4.7%,5.4%
14,    60 to 64 years,4.2%,4.5%,3.8%
15,    65 to 69 years,3.6%,3.4%,3.8%
16,    70 to 74 years,2.2%,1.9%,2.6%
17,    75 to 79 years,1.9%,1.6%,2.1%
18,    80 to 84 years,1.3%,1.1%,1.6%
19,    85 years and over,1.0%,0.8%,1.3%
