,Label (Grouping),"Mariposa County, California!!Total!!Estimate","Mariposa County, California!!Male!!Estimate","Mariposa County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.1%,4.6%,3.7%
3,    5 to 9 years,4.4%,5.2%,3.5%
4,    10 to 14 years,4.6%,3.9%,5.2%
5,    15 to 19 years,5.5%,5.2%,5.9%
6,    20 to 24 years,4.7%,5.1%,4.2%
7,    25 to 29 years,4.7%,4.7%,4.8%
8,    30 to 34 years,5.2%,5.7%,4.6%
9,    35 to 39 years,4.9%,4.9%,4.9%
10,    40 to 44 years,4.4%,4.4%,4.3%
11,    45 to 49 years,6.1%,5.3%,7.0%
12,    50 to 54 years,8.2%,8.7%,7.7%
13,    55 to 59 years,8.8%,8.4%,9.2%
14,    60 to 64 years,9.6%,10.0%,9.2%
15,    65 to 69 years,9.1%,9.7%,8.5%
16,    70 to 74 years,6.1%,5.4%,6.7%
17,    75 to 79 years,4.4%,3.3%,5.5%
18,    80 to 84 years,3.7%,3.7%,3.6%
19,    85 years and over,1.6%,1.7%,1.5%
