,Label (Grouping),"Madera County, California!!Total!!Estimate","Madera County, California!!Male!!Estimate","Madera County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.0%,8.3%,7.8%
3,    5 to 9 years,7.6%,7.7%,7.6%
4,    10 to 14 years,7.9%,8.7%,7.2%
5,    15 to 19 years,7.9%,8.6%,7.2%
6,    20 to 24 years,7.2%,7.6%,6.8%
7,    25 to 29 years,7.0%,6.6%,7.3%
8,    30 to 34 years,6.7%,6.4%,7.0%
9,    35 to 39 years,6.2%,6.1%,6.4%
10,    40 to 44 years,6.5%,6.0%,7.0%
11,    45 to 49 years,6.6%,6.3%,6.9%
12,    50 to 54 years,6.2%,5.9%,6.4%
13,    55 to 59 years,5.5%,6.0%,5.1%
14,    60 to 64 years,5.0%,4.5%,5.4%
15,    65 to 69 years,4.0%,3.8%,4.1%
16,    70 to 74 years,2.7%,2.8%,2.6%
17,    75 to 79 years,2.2%,2.4%,2.0%
18,    80 to 84 years,1.4%,1.2%,1.6%
19,    85 years and over,1.3%,0.9%,1.7%
