,Label (Grouping),"San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.6%,4.6%,4.5%
3,    5 to 9 years,3.7%,3.7%,3.7%
4,    10 to 14 years,3.3%,3.2%,3.3%
5,    15 to 19 years,3.6%,3.5%,3.8%
6,    20 to 24 years,6.2%,5.9%,6.4%
7,    25 to 29 years,11.6%,11.7%,11.6%
8,    30 to 34 years,11.0%,11.3%,10.7%
9,    35 to 39 years,8.5%,9.0%,8.0%
10,    40 to 44 years,7.6%,7.8%,7.3%
11,    45 to 49 years,7.0%,7.6%,6.4%
12,    50 to 54 years,6.5%,7.0%,6.1%
13,    55 to 59 years,6.1%,6.2%,5.9%
14,    60 to 64 years,5.9%,5.9%,6.0%
15,    65 to 69 years,4.6%,4.4%,4.8%
16,    70 to 74 years,3.0%,2.7%,3.3%
17,    75 to 79 years,2.5%,2.4%,2.6%
18,    80 to 84 years,1.9%,1.6%,2.3%
19,    85 years and over,2.3%,1.5%,3.2%
