,Label (Grouping),"San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.3%,7.5%,7.2%
3,    5 to 9 years,7.6%,7.7%,7.5%
4,    10 to 14 years,7.6%,8.0%,7.3%
5,    15 to 19 years,7.8%,8.1%,7.5%
6,    20 to 24 years,8.2%,8.6%,7.8%
7,    25 to 29 years,7.6%,7.8%,7.4%
8,    30 to 34 years,7.0%,7.1%,6.9%
9,    35 to 39 years,6.4%,6.4%,6.5%
10,    40 to 44 years,6.4%,6.4%,6.5%
11,    45 to 49 years,6.4%,6.4%,6.4%
12,    50 to 54 years,6.5%,6.4%,6.6%
13,    55 to 59 years,5.9%,5.7%,6.0%
14,    60 to 64 years,4.9%,4.7%,5.1%
15,    65 to 69 years,3.7%,3.5%,3.8%
16,    70 to 74 years,2.5%,2.3%,2.7%
17,    75 to 79 years,1.8%,1.6%,1.9%
18,    80 to 84 years,1.2%,1.0%,1.4%
19,    85 years and over,1.2%,0.8%,1.6%
