,Label (Grouping),"Humboldt County, California!!Total!!Estimate","Humboldt County, California!!Male!!Estimate","Humboldt County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.4%,6.0%,4.8%
3,    5 to 9 years,5.8%,6.0%,5.6%
4,    10 to 14 years,5.2%,5.3%,5.1%
5,    15 to 19 years,6.6%,6.4%,6.7%
6,    20 to 24 years,8.8%,8.7%,9.0%
7,    25 to 29 years,7.0%,7.1%,6.9%
8,    30 to 34 years,7.3%,7.7%,6.9%
9,    35 to 39 years,6.4%,6.9%,6.0%
10,    40 to 44 years,6.2%,7.1%,5.2%
11,    45 to 49 years,5.4%,5.1%,5.7%
12,    50 to 54 years,6.9%,6.6%,7.3%
13,    55 to 59 years,8.1%,8.4%,7.8%
14,    60 to 64 years,6.5%,5.8%,7.1%
15,    65 to 69 years,5.2%,5.3%,5.1%
16,    70 to 74 years,3.0%,2.5%,3.4%
17,    75 to 79 years,2.1%,1.8%,2.5%
18,    80 to 84 years,2.2%,1.4%,3.0%
19,    85 years and over,1.8%,1.7%,2.0%
