,Label (Grouping),"San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.4%,4.5%,4.4%
3,    5 to 9 years,3.5%,3.6%,3.5%
4,    10 to 14 years,3.3%,3.3%,3.3%
5,    15 to 19 years,4.3%,4.0%,4.6%
6,    20 to 24 years,7.1%,6.9%,7.3%
7,    25 to 29 years,11.1%,10.9%,11.2%
8,    30 to 34 years,10.1%,10.3%,9.9%
9,    35 to 39 years,8.7%,9.4%,8.1%
10,    40 to 44 years,7.9%,8.6%,7.2%
11,    45 to 49 years,7.1%,7.7%,6.5%
12,    50 to 54 years,6.7%,7.1%,6.3%
13,    55 to 59 years,6.2%,6.4%,6.0%
14,    60 to 64 years,5.8%,5.7%,5.9%
15,    65 to 69 years,3.8%,3.5%,4.0%
16,    70 to 74 years,3.1%,2.8%,3.3%
17,    75 to 79 years,2.7%,2.4%,3.0%
18,    80 to 84 years,2.1%,1.6%,2.5%
19,    85 years and over,2.2%,1.5%,2.9%
