,Label (Grouping),"Inyo County, California!!Total!!Estimate","Inyo County, California!!Male!!Estimate","Inyo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.9%,6.7%,5.0%
3,    5 to 9 years,5.2%,5.8%,4.6%
4,    10 to 14 years,6.1%,5.9%,6.4%
5,    15 to 19 years,5.9%,6.0%,5.9%
6,    20 to 24 years,4.7%,5.1%,4.3%
7,    25 to 29 years,5.4%,5.3%,5.4%
8,    30 to 34 years,5.3%,5.5%,5.1%
9,    35 to 39 years,5.2%,4.7%,5.8%
10,    40 to 44 years,5.4%,5.9%,4.9%
11,    45 to 49 years,7.7%,7.4%,8.1%
12,    50 to 54 years,8.1%,8.3%,7.8%
13,    55 to 59 years,8.7%,9.0%,8.3%
14,    60 to 64 years,7.4%,7.4%,7.4%
15,    65 to 69 years,5.7%,4.4%,7.0%
16,    70 to 74 years,4.0%,5.0%,2.9%
17,    75 to 79 years,3.6%,2.6%,4.6%
18,    80 to 84 years,2.9%,2.9%,3.0%
19,    85 years and over,2.9%,2.2%,3.6%
