,Label (Grouping),"Lassen County, California!!Total!!Estimate","Lassen County, California!!Male!!Estimate","Lassen County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.5%,3.7%,6.1%
3,    5 to 9 years,3.7%,2.9%,5.3%
4,    10 to 14 years,5.2%,4.4%,6.6%
5,    15 to 19 years,5.5%,5.1%,6.3%
6,    20 to 24 years,9.4%,10.8%,6.9%
7,    25 to 29 years,8.8%,11.6%,3.4%
8,    30 to 34 years,9.7%,11.6%,6.1%
9,    35 to 39 years,7.3%,8.4%,5.2%
10,    40 to 44 years,8.5%,8.5%,8.5%
11,    45 to 49 years,8.2%,8.3%,8.0%
12,    50 to 54 years,7.4%,7.0%,8.3%
13,    55 to 59 years,6.5%,5.9%,7.6%
14,    60 to 64 years,5.3%,4.2%,7.3%
15,    65 to 69 years,3.5%,3.0%,4.4%
16,    70 to 74 years,2.3%,1.8%,3.1%
17,    75 to 79 years,1.8%,1.3%,2.6%
18,    80 to 84 years,1.6%,1.2%,2.4%
19,    85 years and over,1.0%,0.5%,1.9%
