,Label (Grouping),"Lake County, California!!Total!!Estimate","Lake County, California!!Male!!Estimate","Lake County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.5%,5.8%,5.2%
3,    5 to 9 years,5.8%,5.9%,5.6%
4,    10 to 14 years,5.8%,5.9%,5.8%
5,    15 to 19 years,6.4%,7.3%,5.5%
6,    20 to 24 years,5.1%,5.3%,4.9%
7,    25 to 29 years,5.2%,5.6%,4.8%
8,    30 to 34 years,5.0%,5.0%,5.0%
9,    35 to 39 years,6.0%,5.6%,6.5%
10,    40 to 44 years,5.2%,5.2%,5.3%
11,    45 to 49 years,7.1%,7.1%,7.2%
12,    50 to 54 years,8.4%,8.2%,8.5%
13,    55 to 59 years,8.1%,7.6%,8.6%
14,    60 to 64 years,8.6%,8.9%,8.3%
15,    65 to 69 years,5.8%,5.7%,5.9%
16,    70 to 74 years,4.4%,4.6%,4.2%
17,    75 to 79 years,2.6%,2.2%,2.9%
18,    80 to 84 years,2.3%,2.3%,2.4%
19,    85 years and over,2.5%,2.0%,3.1%
