,Label (Grouping),"Modoc County, California!!Total!!Estimate","Modoc County, California!!Male!!Estimate","Modoc County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.2%,4.2%,4.3%
3,    5 to 9 years,5.9%,6.8%,4.9%
4,    10 to 14 years,6.3%,6.4%,6.1%
5,    15 to 19 years,5.8%,5.8%,5.8%
6,    20 to 24 years,3.8%,3.6%,4.1%
7,    25 to 29 years,4.6%,4.7%,4.5%
8,    30 to 34 years,5.9%,4.7%,7.1%
9,    35 to 39 years,4.5%,5.5%,3.5%
10,    40 to 44 years,5.9%,6.4%,5.5%
11,    45 to 49 years,5.9%,5.5%,6.2%
12,    50 to 54 years,7.4%,7.8%,6.9%
13,    55 to 59 years,6.7%,6.2%,7.2%
14,    60 to 64 years,10.0%,9.7%,10.4%
15,    65 to 69 years,8.7%,8.2%,9.2%
16,    70 to 74 years,5.1%,5.6%,4.6%
17,    75 to 79 years,5.4%,5.6%,5.2%
18,    80 to 84 years,1.7%,1.7%,1.7%
19,    85 years and over,2.2%,1.7%,2.8%
