,Label (Grouping),"Amador County, California!!Total!!Estimate","Amador County, California!!Male!!Estimate","Amador County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,3.6%,2.7%,4.6%
3,    5 to 9 years,4.5%,4.2%,4.9%
4,    10 to 14 years,4.9%,4.7%,5.1%
5,    15 to 19 years,6.2%,6.6%,5.8%
6,    20 to 24 years,4.3%,4.8%,3.8%
7,    25 to 29 years,4.3%,4.6%,4.0%
8,    30 to 34 years,4.8%,5.6%,3.8%
9,    35 to 39 years,5.7%,6.6%,4.7%
10,    40 to 44 years,6.1%,7.0%,5.0%
11,    45 to 49 years,8.0%,9.1%,6.7%
12,    50 to 54 years,8.7%,9.0%,8.2%
13,    55 to 59 years,9.9%,8.7%,11.3%
14,    60 to 64 years,8.2%,7.9%,8.5%
15,    65 to 69 years,6.4%,6.3%,6.6%
16,    70 to 74 years,5.6%,4.9%,6.5%
17,    75 to 79 years,3.2%,2.9%,3.5%
18,    80 to 84 years,3.1%,2.6%,3.8%
19,    85 years and over,2.5%,1.8%,3.2%
