,Label (Grouping),"Monterey County, California!!Total!!Estimate","Monterey County, California!!Male!!Estimate","Monterey County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.7%,7.7%,7.7%
3,    5 to 9 years,7.5%,7.4%,7.6%
4,    10 to 14 years,7.2%,7.3%,7.1%
5,    15 to 19 years,7.1%,7.1%,7.0%
6,    20 to 24 years,7.7%,8.0%,7.3%
7,    25 to 29 years,7.4%,7.7%,7.2%
8,    30 to 34 years,7.4%,7.7%,7.0%
9,    35 to 39 years,6.6%,7.0%,6.2%
10,    40 to 44 years,6.4%,6.6%,6.2%
11,    45 to 49 years,6.1%,6.4%,5.9%
12,    50 to 54 years,6.1%,6.0%,6.1%
13,    55 to 59 years,5.7%,5.4%,6.1%
14,    60 to 64 years,5.2%,5.1%,5.2%
15,    65 to 69 years,4.0%,3.8%,4.2%
16,    70 to 74 years,2.7%,2.5%,2.9%
17,    75 to 79 years,1.8%,1.6%,2.0%
18,    80 to 84 years,1.6%,1.3%,1.9%
19,    85 years and over,1.9%,1.3%,2.5%
