,Label (Grouping),"Tuolumne County, California!!Total!!Estimate","Tuolumne County, California!!Male!!Estimate","Tuolumne County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.4%,4.4%,4.4%
3,    5 to 9 years,4.8%,4.8%,4.9%
4,    10 to 14 years,4.7%,4.5%,4.9%
5,    15 to 19 years,5.9%,5.6%,6.1%
6,    20 to 24 years,5.5%,6.3%,4.5%
7,    25 to 29 years,5.6%,6.7%,4.5%
8,    30 to 34 years,5.1%,5.8%,4.4%
9,    35 to 39 years,4.8%,5.7%,3.7%
10,    40 to 44 years,5.9%,6.1%,5.7%
11,    45 to 49 years,7.0%,7.1%,6.8%
12,    50 to 54 years,8.7%,8.4%,9.1%
13,    55 to 59 years,8.8%,7.7%,10.0%
14,    60 to 64 years,8.1%,8.4%,7.8%
15,    65 to 69 years,6.9%,6.9%,6.9%
16,    70 to 74 years,4.5%,3.6%,5.6%
17,    75 to 79 years,3.7%,3.9%,3.5%
18,    80 to 84 years,2.8%,2.3%,3.3%
19,    85 years and over,2.7%,1.7%,3.9%
