,Label (Grouping),"San Diego County, California!!Total!!Estimate","San Diego County, California!!Male!!Estimate","San Diego County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.6%,6.7%,6.5%
3,    5 to 9 years,6.3%,6.5%,6.1%
4,    10 to 14 years,6.3%,6.4%,6.2%
5,    15 to 19 years,7.2%,7.5%,6.8%
6,    20 to 24 years,8.7%,9.5%,7.9%
7,    25 to 29 years,8.1%,8.5%,7.8%
8,    30 to 34 years,7.2%,7.3%,7.0%
9,    35 to 39 years,6.8%,6.9%,6.8%
10,    40 to 44 years,6.8%,6.8%,6.8%
11,    45 to 49 years,7.0%,7.0%,7.0%
12,    50 to 54 years,6.8%,6.7%,6.9%
13,    55 to 59 years,5.9%,5.7%,6.1%
14,    60 to 64 years,4.8%,4.6%,5.0%
15,    65 to 69 years,3.4%,3.2%,3.7%
16,    70 to 74 years,2.5%,2.3%,2.8%
17,    75 to 79 years,2.1%,1.9%,2.3%
18,    80 to 84 years,1.7%,1.4%,2.0%
19,    85 years and over,1.8%,1.3%,2.3%
