,Label (Grouping),"San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.8%,4.7%,4.8%
3,    5 to 9 years,5.1%,5.9%,4.3%
4,    10 to 14 years,5.6%,4.7%,6.5%
5,    15 to 19 years,7.8%,8.0%,7.6%
6,    20 to 24 years,11.0%,11.9%,10.1%
7,    25 to 29 years,5.6%,5.9%,5.2%
8,    30 to 34 years,6.0%,6.5%,5.4%
9,    35 to 39 years,5.1%,5.5%,4.8%
10,    40 to 44 years,5.7%,5.5%,5.8%
11,    45 to 49 years,5.9%,6.2%,5.6%
12,    50 to 54 years,7.1%,6.9%,7.3%
13,    55 to 59 years,6.8%,7.2%,6.5%
14,    60 to 64 years,7.2%,6.2%,8.2%
15,    65 to 69 years,5.1%,5.1%,5.1%
16,    70 to 74 years,3.7%,3.2%,4.1%
17,    75 to 79 years,2.6%,2.0%,3.2%
18,    80 to 84 years,2.2%,2.1%,2.2%
19,    85 years and over,2.9%,2.4%,3.4%
