,Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.2%,6.3%,6.0%
3,    5 to 9 years,6.4%,6.6%,6.2%
4,    10 to 14 years,6.3%,6.3%,6.3%
5,    15 to 19 years,5.9%,6.0%,5.8%
6,    20 to 24 years,6.3%,6.6%,6.0%
7,    25 to 29 years,7.9%,8.3%,7.4%
8,    30 to 34 years,7.9%,8.3%,7.6%
9,    35 to 39 years,7.3%,7.5%,7.1%
10,    40 to 44 years,7.2%,7.2%,7.3%
11,    45 to 49 years,7.2%,7.2%,7.2%
12,    50 to 54 years,6.9%,7.0%,6.9%
13,    55 to 59 years,6.3%,6.2%,6.4%
14,    60 to 64 years,5.3%,5.3%,5.4%
15,    65 to 69 years,4.1%,3.9%,4.2%
16,    70 to 74 years,3.1%,2.7%,3.6%
17,    75 to 79 years,2.1%,1.9%,2.4%
18,    80 to 84 years,1.6%,1.5%,1.8%
19,    85 years and over,1.8%,1.2%,2.4%
