,Label (Grouping),"Kings County, California!!Total!!Estimate","Kings County, California!!Male!!Estimate","Kings County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.4%,7.7%,9.4%
3,    5 to 9 years,8.0%,7.2%,9.0%
4,    10 to 14 years,6.9%,6.2%,7.8%
5,    15 to 19 years,7.5%,7.1%,8.0%
6,    20 to 24 years,8.6%,9.0%,8.1%
7,    25 to 29 years,8.6%,9.5%,7.5%
8,    30 to 34 years,7.9%,8.5%,7.1%
9,    35 to 39 years,8.1%,8.9%,7.1%
10,    40 to 44 years,6.5%,7.2%,5.5%
11,    45 to 49 years,7.0%,7.7%,6.1%
12,    50 to 54 years,6.1%,6.4%,5.8%
13,    55 to 59 years,4.8%,4.6%,5.1%
14,    60 to 64 years,3.6%,3.6%,3.5%
15,    65 to 69 years,2.7%,2.3%,3.2%
16,    70 to 74 years,1.9%,1.7%,2.0%
17,    75 to 79 years,1.4%,1.1%,1.8%
18,    80 to 84 years,1.1%,0.7%,1.6%
19,    85 years and over,0.9%,0.6%,1.3%
