,Label (Grouping),"Stanislaus County, California!!Total!!Estimate","Stanislaus County, California!!Male!!Estimate","Stanislaus County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.8%,8.0%,7.5%
3,    5 to 9 years,7.4%,7.8%,7.1%
4,    10 to 14 years,8.3%,8.5%,8.1%
5,    15 to 19 years,8.2%,8.7%,7.8%
6,    20 to 24 years,7.3%,7.5%,7.2%
7,    25 to 29 years,7.1%,7.2%,7.0%
8,    30 to 34 years,6.6%,6.7%,6.5%
9,    35 to 39 years,6.4%,6.4%,6.5%
10,    40 to 44 years,6.6%,6.7%,6.5%
11,    45 to 49 years,6.8%,6.8%,6.9%
12,    50 to 54 years,6.5%,6.5%,6.5%
13,    55 to 59 years,5.7%,5.5%,5.8%
14,    60 to 64 years,4.5%,4.4%,4.6%
15,    65 to 69 years,3.3%,3.1%,3.6%
16,    70 to 74 years,2.5%,2.3%,2.7%
17,    75 to 79 years,1.8%,1.6%,2.0%
18,    80 to 84 years,1.6%,1.2%,1.9%
19,    85 years and over,1.5%,1.1%,2.0%
