,Label (Grouping),"Glenn County, California!!Total!!Estimate","Glenn County, California!!Male!!Estimate","Glenn County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.5%,7.8%,7.2%
3,    5 to 9 years,6.4%,7.0%,5.8%
4,    10 to 14 years,9.0%,9.2%,8.7%
5,    15 to 19 years,7.4%,7.8%,7.0%
6,    20 to 24 years,7.0%,6.4%,7.6%
7,    25 to 29 years,6.2%,6.5%,5.9%
8,    30 to 34 years,4.9%,5.8%,4.0%
9,    35 to 39 years,5.8%,4.7%,6.9%
10,    40 to 44 years,6.8%,7.3%,6.2%
11,    45 to 49 years,6.9%,6.6%,7.1%
12,    50 to 54 years,7.4%,7.3%,7.6%
13,    55 to 59 years,5.8%,5.7%,5.9%
14,    60 to 64 years,5.6%,5.8%,5.4%
15,    65 to 69 years,4.2%,4.3%,4.1%
16,    70 to 74 years,3.0%,2.9%,3.1%
17,    75 to 79 years,2.0%,1.8%,2.2%
18,    80 to 84 years,2.0%,1.3%,2.7%
19,    85 years and over,2.0%,1.6%,2.4%
