,Label (Grouping),"Placer County, California!!Total!!Estimate","Placer County, California!!Male!!Estimate","Placer County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.4%,5.6%,5.2%
3,    5 to 9 years,6.5%,6.8%,6.1%
4,    10 to 14 years,6.8%,7.1%,6.6%
5,    15 to 19 years,6.6%,6.9%,6.2%
6,    20 to 24 years,5.5%,5.8%,5.1%
7,    25 to 29 years,5.2%,5.5%,5.0%
8,    30 to 34 years,5.8%,5.9%,5.7%
9,    35 to 39 years,6.2%,6.2%,6.2%
10,    40 to 44 years,6.6%,6.6%,6.5%
11,    45 to 49 years,7.0%,7.0%,7.0%
12,    50 to 54 years,7.4%,7.4%,7.3%
13,    55 to 59 years,7.0%,6.7%,7.3%
14,    60 to 64 years,6.2%,6.2%,6.3%
15,    65 to 69 years,5.6%,5.3%,5.9%
16,    70 to 74 years,4.5%,4.3%,4.7%
17,    75 to 79 years,3.2%,3.0%,3.3%
18,    80 to 84 years,2.2%,2.1%,2.4%
19,    85 years and over,2.3%,1.7%,3.0%
