,Label (Grouping),"El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.2%,5.4%,4.9%
3,    5 to 9 years,6.1%,6.3%,5.9%
4,    10 to 14 years,6.9%,7.0%,6.8%
5,    15 to 19 years,6.9%,7.3%,6.6%
6,    20 to 24 years,5.1%,5.5%,4.6%
7,    25 to 29 years,4.8%,4.9%,4.7%
8,    30 to 34 years,4.8%,4.8%,4.8%
9,    35 to 39 years,5.5%,5.3%,5.7%
10,    40 to 44 years,6.7%,6.8%,6.7%
11,    45 to 49 years,8.5%,8.3%,8.7%
12,    50 to 54 years,9.2%,9.0%,9.4%
13,    55 to 59 years,8.0%,7.8%,8.3%
14,    60 to 64 years,7.5%,7.7%,7.3%
15,    65 to 69 years,5.4%,5.2%,5.5%
16,    70 to 74 years,3.3%,3.3%,3.4%
17,    75 to 79 years,2.5%,2.4%,2.6%
18,    80 to 84 years,1.8%,1.7%,2.0%
19,    85 years and over,1.8%,1.4%,2.2%
