,Label (Grouping),"Humboldt County, California!!Total!!Estimate","Humboldt County, California!!Male!!Estimate","Humboldt County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.4%,5.5%,5.4%
3,    5 to 9 years,5.7%,6.0%,5.4%
4,    10 to 14 years,5.1%,5.0%,5.2%
5,    15 to 19 years,6.8%,6.6%,6.9%
6,    20 to 24 years,9.7%,9.8%,9.6%
7,    25 to 29 years,6.7%,7.0%,6.4%
8,    30 to 34 years,7.0%,7.4%,6.7%
9,    35 to 39 years,6.4%,6.6%,6.2%
10,    40 to 44 years,5.7%,6.2%,5.2%
11,    45 to 49 years,5.3%,5.5%,5.2%
12,    50 to 54 years,6.4%,6.3%,6.4%
13,    55 to 59 years,7.5%,7.6%,7.5%
14,    60 to 64 years,6.9%,6.3%,7.4%
15,    65 to 69 years,5.5%,5.5%,5.6%
16,    70 to 74 years,3.7%,3.6%,3.9%
17,    75 to 79 years,2.5%,2.5%,2.6%
18,    80 to 84 years,1.7%,1.2%,2.2%
19,    85 years and over,1.8%,1.4%,2.3%
