,Label (Grouping),"San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.4%,6.7%,6.2%
3,    5 to 9 years,6.3%,6.4%,6.2%
4,    10 to 14 years,5.8%,6.1%,5.4%
5,    15 to 19 years,5.7%,6.0%,5.5%
6,    20 to 24 years,5.6%,6.0%,5.2%
7,    25 to 29 years,6.8%,7.1%,6.5%
8,    30 to 34 years,7.1%,7.3%,6.9%
9,    35 to 39 years,7.5%,7.5%,7.4%
10,    40 to 44 years,7.6%,7.7%,7.5%
11,    45 to 49 years,7.8%,7.8%,7.7%
12,    50 to 54 years,7.5%,7.5%,7.5%
13,    55 to 59 years,6.7%,6.6%,6.8%
14,    60 to 64 years,5.8%,5.5%,6.0%
15,    65 to 69 years,4.1%,3.9%,4.3%
16,    70 to 74 years,2.9%,2.6%,3.2%
17,    75 to 79 years,2.4%,2.1%,2.8%
18,    80 to 84 years,2.0%,1.6%,2.3%
19,    85 years and over,2.1%,1.5%,2.6%
