,Label (Grouping),"Nevada County, California!!Total!!Estimate","Nevada County, California!!Male!!Estimate","Nevada County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.4%,4.8%,4.1%
3,    5 to 9 years,5.1%,5.3%,4.9%
4,    10 to 14 years,5.6%,5.8%,5.5%
5,    15 to 19 years,6.2%,6.7%,5.7%
6,    20 to 24 years,4.7%,5.2%,4.1%
7,    25 to 29 years,4.6%,4.6%,4.5%
8,    30 to 34 years,4.7%,5.0%,4.5%
9,    35 to 39 years,5.3%,5.6%,4.9%
10,    40 to 44 years,5.5%,5.2%,5.7%
11,    45 to 49 years,7.3%,7.0%,7.4%
12,    50 to 54 years,8.7%,8.3%,9.2%
13,    55 to 59 years,9.5%,8.9%,10.2%
14,    60 to 64 years,8.8%,9.2%,8.4%
15,    65 to 69 years,6.3%,6.0%,6.5%
16,    70 to 74 years,4.7%,4.9%,4.5%
17,    75 to 79 years,3.2%,3.2%,3.3%
18,    80 to 84 years,2.8%,2.4%,3.2%
19,    85 years and over,2.7%,2.0%,3.4%
