,Label (Grouping),"Del Norte County, California!!Total!!Estimate","Del Norte County, California!!Male!!Estimate","Del Norte County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.0%,4.7%,7.6%
3,    5 to 9 years,5.0%,5.0%,5.0%
4,    10 to 14 years,6.4%,5.7%,7.3%
5,    15 to 19 years,6.4%,5.9%,7.0%
6,    20 to 24 years,7.0%,7.8%,6.0%
7,    25 to 29 years,6.8%,8.3%,4.9%
8,    30 to 34 years,7.5%,8.9%,5.7%
9,    35 to 39 years,6.2%,7.3%,4.8%
10,    40 to 44 years,6.0%,6.6%,5.4%
11,    45 to 49 years,7.6%,8.3%,6.7%
12,    50 to 54 years,8.0%,7.3%,8.8%
13,    55 to 59 years,7.0%,6.8%,7.2%
14,    60 to 64 years,5.9%,5.0%,7.0%
15,    65 to 69 years,4.5%,4.1%,5.0%
16,    70 to 74 years,3.9%,3.8%,4.0%
17,    75 to 79 years,2.2%,1.6%,2.9%
18,    80 to 84 years,2.0%,1.6%,2.4%
19,    85 years and over,1.7%,1.3%,2.2%
