,Label (Grouping),"Madera County, California!!Total!!Estimate","Madera County, California!!Male!!Estimate","Madera County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.9%,8.3%,7.6%
3,    5 to 9 years,8.4%,8.8%,8.1%
4,    10 to 14 years,7.5%,8.6%,6.4%
5,    15 to 19 years,7.4%,8.1%,6.7%
6,    20 to 24 years,7.5%,8.1%,6.8%
7,    25 to 29 years,6.9%,6.2%,7.5%
8,    30 to 34 years,6.9%,6.4%,7.3%
9,    35 to 39 years,6.5%,6.3%,6.7%
10,    40 to 44 years,6.0%,5.3%,6.6%
11,    45 to 49 years,6.3%,5.8%,6.7%
12,    50 to 54 years,6.1%,5.7%,6.5%
13,    55 to 59 years,5.2%,5.5%,5.0%
14,    60 to 64 years,5.5%,5.3%,5.8%
15,    65 to 69 years,4.2%,4.2%,4.3%
16,    70 to 74 years,2.8%,2.7%,2.8%
17,    75 to 79 years,2.4%,2.9%,2.0%
18,    80 to 84 years,1.3%,1.2%,1.4%
19,    85 years and over,1.3%,0.5%,1.9%
