,Label (Grouping),"Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.1%,7.4%,6.8%
3,    5 to 9 years,6.9%,7.3%,6.5%
4,    10 to 14 years,7.0%,7.3%,6.8%
5,    15 to 19 years,7.3%,7.6%,6.9%
6,    20 to 24 years,7.3%,7.4%,7.1%
7,    25 to 29 years,7.7%,7.8%,7.5%
8,    30 to 34 years,7.0%,7.1%,6.8%
9,    35 to 39 years,6.7%,6.8%,6.5%
10,    40 to 44 years,6.8%,6.9%,6.8%
11,    45 to 49 years,7.1%,7.1%,7.0%
12,    50 to 54 years,6.9%,6.8%,7.0%
13,    55 to 59 years,6.0%,5.8%,6.3%
14,    60 to 64 years,5.0%,4.8%,5.1%
15,    65 to 69 years,3.4%,3.1%,3.7%
16,    70 to 74 years,2.6%,2.4%,2.8%
17,    75 to 79 years,2.0%,1.8%,2.2%
18,    80 to 84 years,1.7%,1.4%,1.9%
19,    85 years and over,1.7%,1.1%,2.2%
