,Label (Grouping),"Plumas County, California!!Total!!Estimate","Plumas County, California!!Male!!Estimate","Plumas County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.7%,5.7%,3.7%
3,    5 to 9 years,5.0%,5.0%,5.1%
4,    10 to 14 years,4.0%,4.2%,3.8%
5,    15 to 19 years,4.9%,6.1%,3.7%
6,    20 to 24 years,4.1%,3.4%,4.8%
7,    25 to 29 years,4.2%,3.6%,4.8%
8,    30 to 34 years,5.4%,5.5%,5.2%
9,    35 to 39 years,5.3%,5.7%,5.0%
10,    40 to 44 years,4.8%,4.8%,4.8%
11,    45 to 49 years,5.4%,5.7%,5.0%
12,    50 to 54 years,7.6%,7.2%,7.9%
13,    55 to 59 years,9.3%,9.8%,8.8%
14,    60 to 64 years,10.5%,9.0%,11.9%
15,    65 to 69 years,9.1%,8.9%,9.3%
16,    70 to 74 years,6.6%,7.0%,6.2%
17,    75 to 79 years,3.5%,3.4%,3.6%
18,    80 to 84 years,3.0%,2.9%,3.1%
19,    85 years and over,2.6%,2.1%,3.2%
