,Label (Grouping),"Nevada County, California!!Total!!Estimate","Nevada County, California!!Male!!Estimate","Nevada County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,3.7%,3.9%,3.5%
3,    5 to 9 years,4.7%,4.9%,4.5%
4,    10 to 14 years,6.3%,6.5%,6.1%
5,    15 to 19 years,4.7%,6.4%,2.9%
6,    20 to 24 years,4.2%,4.0%,4.4%
7,    25 to 29 years,4.0%,4.0%,4.1%
8,    30 to 34 years,6.7%,6.9%,6.4%
9,    35 to 39 years,5.2%,4.8%,5.6%
10,    40 to 44 years,4.9%,5.7%,4.1%
11,    45 to 49 years,5.4%,5.5%,5.3%
12,    50 to 54 years,6.5%,6.0%,7.0%
13,    55 to 59 years,8.4%,8.4%,8.5%
14,    60 to 64 years,9.4%,8.4%,10.3%
15,    65 to 69 years,9.6%,9.4%,9.7%
16,    70 to 74 years,6.3%,6.6%,6.0%
17,    75 to 79 years,4.0%,3.3%,4.6%
18,    80 to 84 years,2.5%,2.5%,2.6%
19,    85 years and over,3.5%,2.7%,4.4%
