,Label (Grouping),"Orange County, California!!Total!!Estimate","Orange County, California!!Male!!Estimate","Orange County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.3%,6.5%,6.1%
3,    5 to 9 years,6.5%,6.8%,6.1%
4,    10 to 14 years,6.7%,6.8%,6.7%
5,    15 to 19 years,7.1%,7.4%,6.9%
6,    20 to 24 years,7.5%,7.7%,7.2%
7,    25 to 29 years,7.0%,7.4%,6.7%
8,    30 to 34 years,6.7%,6.9%,6.6%
9,    35 to 39 years,6.6%,6.6%,6.5%
10,    40 to 44 years,7.5%,7.5%,7.5%
11,    45 to 49 years,7.4%,7.4%,7.3%
12,    50 to 54 years,7.2%,7.2%,7.2%
13,    55 to 59 years,6.2%,6.3%,6.1%
14,    60 to 64 years,5.0%,4.6%,5.4%
15,    65 to 69 years,3.9%,3.5%,4.2%
16,    70 to 74 years,2.9%,2.8%,3.0%
17,    75 to 79 years,2.0%,1.9%,2.2%
18,    80 to 84 years,1.7%,1.4%,1.9%
19,    85 years and over,1.8%,1.3%,2.4%
