,Label (Grouping),"Kings County, California!!Total!!Estimate","Kings County, California!!Male!!Estimate","Kings County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.0%,7.3%,8.8%
3,    5 to 9 years,8.4%,8.1%,8.7%
4,    10 to 14 years,6.7%,5.6%,8.1%
5,    15 to 19 years,7.0%,6.2%,8.0%
6,    20 to 24 years,8.1%,8.5%,7.6%
7,    25 to 29 years,8.9%,9.8%,7.8%
8,    30 to 34 years,8.1%,8.9%,7.2%
9,    35 to 39 years,8.3%,8.8%,7.7%
10,    40 to 44 years,6.1%,7.2%,4.9%
11,    45 to 49 years,6.6%,7.6%,5.4%
12,    50 to 54 years,6.4%,6.8%,5.8%
13,    55 to 59 years,5.4%,5.3%,5.6%
14,    60 to 64 years,3.4%,3.2%,3.6%
15,    65 to 69 years,3.1%,2.6%,3.8%
16,    70 to 74 years,1.7%,1.7%,1.7%
17,    75 to 79 years,1.4%,1.6%,1.2%
18,    80 to 84 years,1.3%,0.6%,2.2%
19,    85 years and over,0.9%,0.4%,1.6%
