,Label (Grouping),"Placer County, California!!Total!!Estimate","Placer County, California!!Male!!Estimate","Placer County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.9%,6.2%,5.7%
3,    5 to 9 years,6.8%,7.1%,6.5%
4,    10 to 14 years,7.1%,7.4%,6.8%
5,    15 to 19 years,6.9%,7.3%,6.6%
6,    20 to 24 years,5.3%,5.7%,5.0%
7,    25 to 29 years,5.5%,5.7%,5.3%
8,    30 to 34 years,5.6%,5.7%,5.6%
9,    35 to 39 years,6.4%,6.2%,6.6%
10,    40 to 44 years,7.0%,7.1%,6.9%
11,    45 to 49 years,7.8%,7.8%,7.7%
12,    50 to 54 years,7.4%,7.4%,7.4%
13,    55 to 59 years,6.6%,6.5%,6.8%
14,    60 to 64 years,6.0%,5.9%,6.2%
15,    65 to 69 years,4.9%,4.8%,4.9%
16,    70 to 74 years,3.6%,3.2%,3.9%
17,    75 to 79 years,2.9%,2.7%,3.1%
18,    80 to 84 years,2.1%,1.9%,2.4%
19,    85 years and over,2.0%,1.4%,2.6%
