,Label (Grouping),"Ventura County, California!!Total!!Estimate","Ventura County, California!!Male!!Estimate","Ventura County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.6%,6.7%,6.4%
3,    5 to 9 years,7.1%,7.0%,7.2%
4,    10 to 14 years,6.8%,7.2%,6.4%
5,    15 to 19 years,7.3%,7.6%,7.0%
6,    20 to 24 years,7.3%,7.8%,6.9%
7,    25 to 29 years,6.5%,6.9%,6.2%
8,    30 to 34 years,6.4%,6.5%,6.2%
9,    35 to 39 years,6.5%,6.4%,6.7%
10,    40 to 44 years,6.4%,6.6%,6.3%
11,    45 to 49 years,7.1%,7.1%,7.2%
12,    50 to 54 years,7.5%,7.4%,7.6%
13,    55 to 59 years,6.6%,6.5%,6.7%
14,    60 to 64 years,5.3%,5.1%,5.5%
15,    65 to 69 years,4.2%,4.0%,4.4%
16,    70 to 74 years,2.7%,2.6%,2.9%
17,    75 to 79 years,2.2%,2.0%,2.4%
18,    80 to 84 years,1.6%,1.3%,1.9%
19,    85 years and over,1.9%,1.4%,2.5%
