,Label (Grouping),"Kern County, California!!Total!!Estimate","Kern County, California!!Male!!Estimate","Kern County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.0%,7.9%,8.1%
3,    5 to 9 years,8.3%,7.9%,8.7%
4,    10 to 14 years,8.2%,8.4%,8.0%
5,    15 to 19 years,7.4%,7.4%,7.4%
6,    20 to 24 years,7.9%,8.4%,7.3%
7,    25 to 29 years,8.0%,8.4%,7.6%
8,    30 to 34 years,7.4%,7.7%,7.0%
9,    35 to 39 years,6.6%,6.7%,6.5%
10,    40 to 44 years,5.9%,6.1%,5.6%
11,    45 to 49 years,5.8%,5.8%,5.7%
12,    50 to 54 years,5.8%,5.7%,5.9%
13,    55 to 59 years,5.8%,6.0%,5.6%
14,    60 to 64 years,4.6%,4.3%,5.0%
15,    65 to 69 years,3.8%,3.4%,4.2%
16,    70 to 74 years,2.5%,2.4%,2.6%
17,    75 to 79 years,1.6%,1.5%,1.8%
18,    80 to 84 years,1.2%,0.9%,1.5%
19,    85 years and over,1.2%,0.9%,1.5%
