,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.7%,5.9%,5.6%
3,    5 to 9 years,5.6%,5.7%,5.6%
4,    10 to 14 years,5.9%,6.2%,5.6%
5,    15 to 19 years,8.5%,8.5%,8.4%
6,    20 to 24 years,9.8%,10.2%,9.3%
7,    25 to 29 years,6.3%,6.6%,6.1%
8,    30 to 34 years,6.1%,6.2%,6.0%
9,    35 to 39 years,5.8%,5.7%,5.9%
10,    40 to 44 years,6.8%,7.1%,6.5%
11,    45 to 49 years,7.0%,7.0%,7.1%
12,    50 to 54 years,7.6%,7.4%,7.7%
13,    55 to 59 years,7.6%,7.5%,7.7%
14,    60 to 64 years,6.0%,6.1%,5.9%
15,    65 to 69 years,3.7%,3.6%,3.9%
16,    70 to 74 years,2.4%,2.3%,2.5%
17,    75 to 79 years,1.8%,1.6%,2.0%
18,    80 to 84 years,1.7%,1.3%,2.0%
19,    85 years and over,1.7%,1.1%,2.3%
