,Label (Grouping),"Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.7%,7.0%,6.4%
3,    5 to 9 years,6.8%,7.1%,6.5%
4,    10 to 14 years,6.8%,7.1%,6.5%
5,    15 to 19 years,6.5%,6.8%,6.2%
6,    20 to 24 years,7.0%,7.3%,6.8%
7,    25 to 29 years,7.8%,7.9%,7.6%
8,    30 to 34 years,7.4%,7.5%,7.2%
9,    35 to 39 years,6.5%,6.6%,6.3%
10,    40 to 44 years,6.5%,6.5%,6.6%
11,    45 to 49 years,6.5%,6.6%,6.4%
12,    50 to 54 years,6.8%,6.8%,6.9%
13,    55 to 59 years,6.4%,6.2%,6.5%
14,    60 to 64 years,5.5%,5.2%,5.8%
15,    65 to 69 years,4.3%,4.0%,4.7%
16,    70 to 74 years,2.9%,2.7%,3.1%
17,    75 to 79 years,2.2%,1.9%,2.4%
18,    80 to 84 years,1.6%,1.4%,1.8%
19,    85 years and over,1.8%,1.2%,2.3%
