,Label (Grouping),"Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.6%,5.8%,5.4%
3,    5 to 9 years,6.0%,6.3%,5.7%
4,    10 to 14 years,6.0%,6.1%,5.9%
5,    15 to 19 years,6.3%,6.0%,6.5%
6,    20 to 24 years,7.0%,7.6%,6.4%
7,    25 to 29 years,6.4%,7.0%,6.0%
8,    30 to 34 years,6.3%,6.6%,6.0%
9,    35 to 39 years,6.0%,6.4%,5.5%
10,    40 to 44 years,6.2%,6.3%,6.1%
11,    45 to 49 years,6.8%,6.7%,6.9%
12,    50 to 54 years,7.6%,7.5%,7.8%
13,    55 to 59 years,7.4%,7.0%,7.9%
14,    60 to 64 years,7.1%,7.2%,7.0%
15,    65 to 69 years,5.0%,4.6%,5.4%
16,    70 to 74 years,3.5%,3.5%,3.5%
17,    75 to 79 years,2.4%,2.0%,2.8%
18,    80 to 84 years,1.8%,1.5%,2.1%
19,    85 years and over,2.4%,1.8%,3.0%
