,Label (Grouping),"Plumas County, California!!Total!!Estimate","Plumas County, California!!Male!!Estimate","Plumas County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.5%,4.9%,4.2%
3,    5 to 9 years,4.6%,4.7%,4.5%
4,    10 to 14 years,5.7%,5.9%,5.5%
5,    15 to 19 years,5.4%,6.5%,4.3%
6,    20 to 24 years,4.5%,3.9%,5.1%
7,    25 to 29 years,4.2%,4.3%,4.1%
8,    30 to 34 years,4.8%,5.0%,4.6%
9,    35 to 39 years,4.5%,4.6%,4.4%
10,    40 to 44 years,5.9%,5.7%,6.2%
11,    45 to 49 years,6.5%,6.5%,6.6%
12,    50 to 54 years,8.8%,8.2%,9.4%
13,    55 to 59 years,10.5%,11.3%,9.8%
14,    60 to 64 years,8.5%,7.8%,9.2%
15,    65 to 69 years,8.5%,8.5%,8.4%
16,    70 to 74 years,4.8%,5.0%,4.7%
17,    75 to 79 years,3.2%,3.4%,2.9%
18,    80 to 84 years,3.1%,2.8%,3.4%
19,    85 years and over,1.9%,1.1%,2.7%
