,Label (Grouping),"Inyo County, California!!Total!!Estimate","Inyo County, California!!Male!!Estimate","Inyo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.8%,6.0%,5.7%
3,    5 to 9 years,5.0%,5.2%,4.7%
4,    10 to 14 years,6.1%,6.2%,6.0%
5,    15 to 19 years,5.7%,5.9%,5.4%
6,    20 to 24 years,5.2%,5.3%,5.1%
7,    25 to 29 years,5.2%,5.5%,4.9%
8,    30 to 34 years,5.9%,6.0%,5.7%
9,    35 to 39 years,5.2%,5.7%,4.8%
10,    40 to 44 years,5.5%,5.2%,5.8%
11,    45 to 49 years,5.3%,5.3%,5.3%
12,    50 to 54 years,7.3%,7.3%,7.4%
13,    55 to 59 years,7.4%,7.4%,7.5%
14,    60 to 64 years,8.8%,8.7%,8.9%
15,    65 to 69 years,7.1%,6.6%,7.7%
16,    70 to 74 years,4.6%,5.2%,4.0%
17,    75 to 79 years,3.6%,3.6%,3.7%
18,    80 to 84 years,2.6%,2.1%,3.1%
19,    85 years and over,3.6%,2.9%,4.3%
