,Label (Grouping),"El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.5%,4.7%,4.3%
3,    5 to 9 years,6.3%,6.5%,6.1%
4,    10 to 14 years,6.4%,6.7%,6.1%
5,    15 to 19 years,6.8%,7.3%,6.3%
6,    20 to 24 years,5.8%,6.4%,5.2%
7,    25 to 29 years,4.4%,4.3%,4.5%
8,    30 to 34 years,4.8%,4.8%,4.8%
9,    35 to 39 years,3.9%,3.8%,4.1%
10,    40 to 44 years,7.4%,7.1%,7.7%
11,    45 to 49 years,7.8%,7.6%,8.0%
12,    50 to 54 years,9.1%,8.9%,9.2%
13,    55 to 59 years,8.4%,8.1%,8.6%
14,    60 to 64 years,7.7%,8.0%,7.5%
15,    65 to 69 years,6.2%,6.0%,6.4%
16,    70 to 74 years,3.7%,3.6%,3.8%
17,    75 to 79 years,2.3%,2.4%,2.3%
18,    80 to 84 years,2.4%,1.7%,3.2%
19,    85 years and over,2.0%,2.1%,1.9%
