,Label (Grouping),"Riverside County, California!!Total!!Estimate","Riverside County, California!!Male!!Estimate","Riverside County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.4%,7.6%,7.3%
3,    5 to 9 years,7.6%,7.7%,7.5%
4,    10 to 14 years,8.1%,8.3%,7.8%
5,    15 to 19 years,8.4%,8.7%,8.1%
6,    20 to 24 years,7.1%,7.4%,6.9%
7,    25 to 29 years,6.6%,6.7%,6.5%
8,    30 to 34 years,6.4%,6.4%,6.4%
9,    35 to 39 years,6.6%,6.5%,6.7%
10,    40 to 44 years,6.8%,6.9%,6.7%
11,    45 to 49 years,6.9%,7.0%,6.8%
12,    50 to 54 years,6.4%,6.4%,6.3%
13,    55 to 59 years,5.3%,5.2%,5.4%
14,    60 to 64 years,4.5%,4.3%,4.6%
15,    65 to 69 years,3.6%,3.4%,3.9%
16,    70 to 74 years,2.9%,2.7%,3.0%
17,    75 to 79 years,2.3%,2.2%,2.5%
18,    80 to 84 years,1.7%,1.5%,1.9%
19,    85 years and over,1.4%,1.1%,1.8%
