,Label (Grouping),"Sierra County, California!!Total!!Estimate","Sierra County, California!!Male!!Estimate","Sierra County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.2%,1.9%,8.3%
3,    5 to 9 years,4.1%,5.3%,3.0%
4,    10 to 14 years,4.2%,2.6%,5.8%
5,    15 to 19 years,6.3%,7.6%,5.0%
6,    20 to 24 years,2.1%,2.7%,1.4%
7,    25 to 29 years,3.0%,2.8%,3.2%
8,    30 to 34 years,3.2%,5.1%,1.3%
9,    35 to 39 years,4.3%,2.8%,5.8%
10,    40 to 44 years,7.6%,7.4%,7.8%
11,    45 to 49 years,7.3%,8.5%,6.1%
12,    50 to 54 years,9.5%,9.7%,9.4%
13,    55 to 59 years,12.9%,13.1%,12.7%
14,    60 to 64 years,8.6%,8.6%,8.6%
15,    65 to 69 years,9.3%,9.0%,9.6%
16,    70 to 74 years,3.8%,4.4%,3.1%
17,    75 to 79 years,5.4%,5.2%,5.6%
18,    80 to 84 years,1.6%,2.3%,1.1%
19,    85 years and over,1.7%,1.2%,2.2%
