,Label (Grouping),"San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.2%,7.4%,7.0%
3,    5 to 9 years,7.4%,7.4%,7.5%
4,    10 to 14 years,7.5%,8.0%,7.1%
5,    15 to 19 years,7.5%,7.7%,7.2%
6,    20 to 24 years,7.9%,8.3%,7.5%
7,    25 to 29 years,7.9%,8.1%,7.7%
8,    30 to 34 years,7.0%,7.1%,6.9%
9,    35 to 39 years,6.4%,6.5%,6.3%
10,    40 to 44 years,6.4%,6.2%,6.6%
11,    45 to 49 years,6.3%,6.3%,6.3%
12,    50 to 54 years,6.3%,6.2%,6.4%
13,    55 to 59 years,6.0%,5.7%,6.2%
14,    60 to 64 years,5.2%,5.1%,5.2%
15,    65 to 69 years,4.1%,4.0%,4.2%
16,    70 to 74 years,2.6%,2.4%,2.9%
17,    75 to 79 years,1.8%,1.6%,2.0%
18,    80 to 84 years,1.2%,1.2%,1.3%
19,    85 years and over,1.3%,0.8%,1.7%
