"Label (Grouping)","Kings County, California!!Total!!Estimate","Kings County, California!!Total!!Margin of Error","Kings County, California!!Male!!Estimate","Kings County, California!!Male!!Margin of Error","Kings County, California!!Female!!Estimate","Kings County, California!!Female!!Margin of Error"
"Total population","151,982","*****","85,499","±115","66,483","±115"
"AGE","","","","","",""
"    Under 5 years","8.4%","±0.1","7.7%","±0.1","9.4%","±0.1"
"    5 to 9 years","8.0%","±0.3","7.2%","±0.4","9.0%","±0.5"
"    10 to 14 years","6.9%","±0.3","6.2%","±0.4","7.8%","±0.5"
"    15 to 19 years","7.5%","±0.2","7.1%","±0.2","8.0%","±0.2"
"    20 to 24 years","8.6%","±0.1","9.0%","±0.2","8.1%","±0.2"
"    25 to 29 years","8.6%","±0.2","9.5%","±0.2","7.5%","±0.2"
"    30 to 34 years","7.9%","±0.1","8.5%","±0.2","7.1%","±0.1"
"    35 to 39 years","8.1%","±0.4","8.9%","±0.5","7.1%","±0.5"
"    40 to 44 years","6.5%","±0.4","7.2%","±0.5","5.5%","±0.5"
"    45 to 49 years","7.0%","±0.1","7.7%","±0.1","6.1%","±0.1"
"    50 to 54 years","6.1%","±0.1","6.4%","±0.1","5.8%","±0.1"
"    55 to 59 years","4.8%","±0.3","4.6%","±0.3","5.1%","±0.4"
"    60 to 64 years","3.6%","±0.3","3.6%","±0.3","3.5%","±0.4"
"    65 to 69 years","2.7%","±0.2","2.3%","±0.2","3.2%","±0.3"
"    70 to 74 years","1.9%","±0.2","1.7%","±0.2","2.0%","±0.3"
"    75 to 79 years","1.4%","±0.1","1.1%","±0.2","1.8%","±0.2"
"    80 to 84 years","1.1%","±0.1","0.7%","±0.1","1.6%","±0.2"
"    85 years and over","0.9%","±0.1","0.6%","±0.1","1.3%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","14.9%","±0.1","13.4%","±0.1","16.8%","±0.1"
"    15 to 17 years","4.4%","±0.1","3.9%","±0.1","5.1%","±0.2"
"    18 to 24 years","11.6%","±0.2","12.1%","±0.2","11.0%","±0.2"
"    15 to 44 years","47.1%","±0.1","50.1%","±0.1","43.3%","±0.2"
"    16 years and over","75.3%","±0.2","77.5%","±0.2","72.3%","±0.3"
"    18 years and over","72.2%","*****","75.0%","±0.1","68.7%","±0.1"
"    60 years and over","11.6%","±0.3","10.1%","±0.3","13.4%","±0.4"
"    62 years and over","10.1%","±0.2","8.7%","±0.3","11.9%","±0.3"
"    65 years and over","8.0%","±0.1","6.5%","±0.1","9.9%","±0.1"
"    75 years and over","3.4%","±0.1","2.4%","±0.1","4.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.2","±0.3","32.0","±0.2","30.1","±0.1"
"    Sex ratio (males per 100 females)","128.6","±0.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","55.6","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","12.4","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","43.2","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.2%","(X)","(X)","(X)","(X)","(X)"
