"Label (Grouping)","Lassen County, California!!Total!!Estimate","Lassen County, California!!Total!!Margin of Error","Lassen County, California!!Male!!Estimate","Lassen County, California!!Male!!Margin of Error","Lassen County, California!!Female!!Estimate","Lassen County, California!!Female!!Margin of Error"
"Total population","34,628","*****","22,681","±266","11,947","±266"
"AGE","","","","","",""
"    Under 5 years","4.5%","±0.5","3.7%","±0.8","6.1%","±0.5"
"    5 to 9 years","3.7%","±0.6","2.9%","±0.8","5.3%","±0.9"
"    10 to 14 years","5.2%","±0.6","4.4%","±0.6","6.6%","±1.1"
"    15 to 19 years","5.5%","±0.3","5.1%","±0.4","6.3%","±0.3"
"    20 to 24 years","9.4%","±0.7","10.8%","±1.0","6.9%","±1.1"
"    25 to 29 years","8.8%","±0.6","11.6%","±0.8","3.4%","±1.1"
"    30 to 34 years","9.7%","±0.7","11.6%","±0.9","6.1%","±0.7"
"    35 to 39 years","7.3%","±0.7","8.4%","±0.9","5.2%","±1.2"
"    40 to 44 years","8.5%","±0.9","8.5%","±0.9","8.5%","±1.7"
"    45 to 49 years","8.2%","±0.4","8.3%","±0.6","8.0%","±0.5"
"    50 to 54 years","7.4%","±0.4","7.0%","±0.5","8.3%","±0.5"
"    55 to 59 years","6.5%","±0.6","5.9%","±0.7","7.6%","±1.1"
"    60 to 64 years","5.3%","±0.6","4.2%","±0.6","7.3%","±1.2"
"    65 to 69 years","3.5%","±0.4","3.0%","±0.4","4.4%","±0.7"
"    70 to 74 years","2.3%","±0.4","1.8%","±0.5","3.1%","±0.8"
"    75 to 79 years","1.8%","±0.3","1.3%","±0.3","2.6%","±0.6"
"    80 to 84 years","1.6%","±0.4","1.2%","±0.3","2.4%","±0.6"
"    85 years and over","1.0%","±0.2","0.5%","±0.2","1.9%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","8.9%","±0.8","7.3%","±0.8","11.8%","±0.8"
"    15 to 17 years","3.1%","±0.2","2.5%","±0.3","4.2%","±0.3"
"    18 to 24 years","11.8%","±0.7","13.3%","±1.0","9.0%","±1.1"
"    15 to 44 years","49.1%","±1.0","55.8%","±1.4","36.4%","±1.0"
"    16 years and over","85.2%","±1.0","87.9%","±1.2","79.9%","±1.0"
"    18 years and over","83.5%","±1.0","86.5%","±1.2","77.8%","±0.9"
"    60 years and over","15.4%","±0.6","11.9%","±0.7","21.8%","±1.4"
"    62 years and over","12.9%","±0.5","9.6%","±0.6","19.2%","±1.3"
"    65 years and over","10.1%","±0.3","7.8%","±0.4","14.5%","±0.5"
"    75 years and over","4.4%","±0.2","2.9%","±0.2","7.0%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.4","±0.5","35.0","±0.6","42.6","±0.8"
"    Sex ratio (males per 100 females)","189.8","±6.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","36.3","±2.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","13.7","±0.5","(X)","(X)","(X)","(X)"
"        Child dependency ratio","22.5","±1.8","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.9%","(X)","(X)","(X)","(X)","(X)"
