"Label (Grouping)","Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Total!!Margin of Error","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Male!!Margin of Error","Santa Barbara County, California!!Female!!Estimate","Santa Barbara County, California!!Female!!Margin of Error"
"Total population","423,594","*****","212,662","±80","210,932","±80"
"AGE","","","","","",""
"    Under 5 years","6.5%","±0.1","6.6%","±0.1","6.4%","±0.1"
"    5 to 9 years","6.1%","±0.2","6.4%","±0.3","5.9%","±0.3"
"    10 to 14 years","6.2%","±0.2","6.2%","±0.3","6.3%","±0.3"
"    15 to 19 years","8.9%","±0.1","9.0%","±0.1","8.9%","±0.1"
"    20 to 24 years","10.5%","±0.1","11.1%","±0.1","10.0%","±0.1"
"    25 to 29 years","7.0%","±0.1","7.5%","±0.1","6.5%","±0.1"
"    30 to 34 years","6.3%","±0.1","6.7%","±0.1","6.0%","±0.1"
"    35 to 39 years","5.9%","±0.2","6.1%","±0.2","5.6%","±0.3"
"    40 to 44 years","6.0%","±0.2","6.1%","±0.3","6.0%","±0.3"
"    45 to 49 years","6.4%","±0.1","6.4%","±0.1","6.4%","±0.1"
"    50 to 54 years","6.5%","±0.1","6.4%","±0.1","6.5%","±0.1"
"    55 to 59 years","5.7%","±0.2","5.5%","±0.2","6.0%","±0.2"
"    60 to 64 years","4.9%","±0.2","4.8%","±0.2","5.0%","±0.2"
"    65 to 69 years","3.6%","±0.1","3.5%","±0.2","3.8%","±0.2"
"    70 to 74 years","2.7%","±0.1","2.4%","±0.2","3.1%","±0.2"
"    75 to 79 years","2.4%","±0.1","2.0%","±0.1","2.8%","±0.2"
"    80 to 84 years","1.8%","±0.1","1.5%","±0.1","2.2%","±0.2"
"    85 years and over","2.3%","±0.1","1.8%","±0.1","2.9%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.3%","±0.1","12.6%","±0.1","12.1%","±0.1"
"    15 to 17 years","4.1%","±0.1","4.3%","±0.1","4.0%","±0.1"
"    18 to 24 years","15.3%","±0.1","15.7%","±0.1","14.9%","±0.1"
"    15 to 44 years","44.7%","±0.1","46.5%","±0.1","42.9%","±0.1"
"    16 years and over","79.8%","±0.1","79.4%","±0.2","80.1%","±0.1"
"    18 years and over","77.0%","*****","76.5%","±0.1","77.5%","±0.1"
"    60 years and over","17.9%","±0.2","16.1%","±0.2","19.6%","±0.2"
"    62 years and over","15.7%","±0.1","13.8%","±0.2","17.6%","±0.2"
"    65 years and over","13.0%","±0.1","11.2%","±0.1","14.7%","±0.1"
"    75 years and over","6.6%","±0.1","5.3%","±0.1","7.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.6","±0.2","32.3","±0.2","35.1","±0.1"
"    Sex ratio (males per 100 females)","100.8","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.2","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.2","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
