"Label (Grouping)","Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Total!!Margin of Error","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Male!!Margin of Error","Santa Barbara County, California!!Female!!Estimate","Santa Barbara County, California!!Female!!Margin of Error"
"Total population","431,249","*****","216,658","±525","214,591","±525"
"AGE","","","","","",""
"    Under 5 years","6.5%","±0.1","6.5%","±0.2","6.5%","±0.2"
"    5 to 9 years","6.3%","±0.4","6.6%","±0.6","6.0%","±0.6"
"    10 to 14 years","6.0%","±0.4","6.0%","±0.6","6.0%","±0.6"
"    15 to 19 years","8.7%","±0.2","8.9%","±0.3","8.6%","±0.3"
"    20 to 24 years","10.8%","±0.2","11.2%","±0.2","10.4%","±0.2"
"    25 to 29 years","6.9%","±0.1","7.4%","±0.1","6.3%","±0.2"
"    30 to 34 years","6.5%","±0.2","6.9%","±0.2","6.0%","±0.2"
"    35 to 39 years","5.5%","±0.4","5.7%","±0.6","5.3%","±0.6"
"    40 to 44 years","6.2%","±0.4","6.3%","±0.6","6.1%","±0.6"
"    45 to 49 years","6.2%","±0.2","6.2%","±0.3","6.2%","±0.2"
"    50 to 54 years","6.2%","±0.1","6.1%","±0.1","6.2%","±0.1"
"    55 to 59 years","6.0%","±0.4","5.7%","±0.5","6.3%","±0.5"
"    60 to 64 years","5.0%","±0.4","4.9%","±0.5","5.2%","±0.5"
"    65 to 69 years","4.0%","±0.3","4.2%","±0.3","3.7%","±0.4"
"    70 to 74 years","2.8%","±0.3","2.2%","±0.4","3.5%","±0.4"
"    75 to 79 years","2.3%","±0.3","1.8%","±0.4","2.8%","±0.4"
"    80 to 84 years","1.8%","±0.3","1.7%","±0.3","2.0%","±0.4"
"    85 years and over","2.4%","±0.3","1.8%","±0.3","3.0%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.3%","±0.1","12.5%","±0.1","12.0%","±0.1"
"    15 to 17 years","3.8%","±0.1","4.0%","±0.1","3.7%","±0.1"
"    18 to 24 years","15.6%","±0.1","16.0%","±0.2","15.3%","±0.2"
"    15 to 44 years","44.5%","±0.2","46.3%","±0.2","42.7%","±0.2"
"    16 years and over","79.8%","±0.2","79.5%","±0.4","80.1%","±0.3"
"    18 years and over","77.4%","*****","76.9%","±0.2","77.9%","±0.2"
"    60 years and over","18.4%","±0.4","16.6%","±0.5","20.2%","±0.5"
"    62 years and over","16.4%","±0.4","14.6%","±0.5","18.2%","±0.5"
"    65 years and over","13.3%","±0.1","11.7%","±0.1","15.0%","±0.1"
"    75 years and over","6.5%","±0.1","5.3%","±0.2","7.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.8","±0.3","32.5","±0.4","35.2","±0.2"
"    Sex ratio (males per 100 females)","101.0","±0.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.2","±0.2","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","20.8","±0.2","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)"
